"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856885.11981";"около 5 тысяч";"67";"озлобленный";"810";"364";"43";"2 года 1 месяц";"около 118 тысяч";"132";"79 / 53";"16528";"26997";"10667";"9250";"1007";"17346";"7980";"3978"
"1463860744.28454";"около 5 тысяч";"67";"озлобленный";"810";"364";"43";"2 года 1 месяц";"около 118 тысяч";"132";"79 / 53";"16526";"26997";"10667";"9257";"1007";"17362";"7985";"4000"
"1463903928.78164";"около 5 тысяч";"67";"озлобленный";"811";"364";"43";"2 года 1 месяц";"около 118 тысяч";"132";"79 / 53";"16518";"26997";"10672";"9163";"1005";"17179";"7934";"4109"
"1463947136.82844";"около 10 тысяч";"67";"озлобленный";"811";"364";"43";"2 года 1 месяц";"около 119 тысяч";"132";"79 / 53";"16507";"26997";"10673";"9206";"1011";"17270";"7997";"4297"
"1463990329.7777";"около 6 тысяч";"67";"озлобленный";"812";"364";"43";"2 года 2 месяца";"около 119 тысяч";"132";"79 / 53";"16504";"26997";"10674";"9054";"1008";"17107";"7924";"3980"
"1464033536.30829";"около 5 тысяч";"67";"озлобленный";"812";"364";"43";"2 года 2 месяца";"около 119 тысяч";"132";"79 / 53";"16488";"26997";"10683";"9120";"1012";"17213";"7979";"4287"
"1464076730.39506";"ни одного";"67";"озлобленный";"812";"364";"43";"2 года 2 месяца";"около 119 тысяч";"133";"79 / 53";"16478";"26997";"10682";"9051";"1009";"17378";"7921";"4371"
"1464119929.38827";"около 3 тысяч";"67";"озлобленный";"813";"364";"43";"2 года 2 месяца";"около 119 тысяч";"133";"79 / 53";"16479";"26997";"10686";"9138";"1012";"17557";"7973";"4541"
"1464163128.39367";"около тысячи";"67";"озлобленный";"813";"364";"43";"2 года 2 месяца";"около 119 тысяч";"133";"79 / 53";"16416";"26997";"10687";"9039";"1003";"17316";"7891";"4377"
"1464206334.02051";"около 5 тысяч";"67";"озлобленный";"815";"364";"43";"2 года 2 месяца";"около 119 тысяч";"133";"79 / 53";"16414";"26997";"10691";"9090";"1005";"17461";"7954";"4100"
"1464249528.16026";"около 3 тысяч";"67";"озлобленный";"816";"364";"43";"2 года 2 месяца";"около 119 тысяч";"133";"79 / 53";"16411";"26997";"10691";"8960";"983";"17185";"7875";"4218"
"1464292740.39077";"около 6 тысяч";"67";"агрессивный";"816";"364";"43";"2 года 2 месяца";"около 119 тысяч";"133";"79 / 53";"16402";"26997";"10697";"9071";"985";"17340";"7932";"3932"
"1464335938.72843";"около 6 тысяч";"67";"озлобленный";"817";"364";"43";"2 года 2 месяца";"около 119 тысяч";"133";"79 / 53";"16393";"26997";"10702";"8989";"972";"17158";"7874";"4103"
