"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856900.66251";"около тысячи";"44";"добродетельный";"4";"272";"5";"7 месяцев";"около 45 тысяч";"38";"67 / 61";"37228";"17054";"21062";"21204";"8343";"18529";"1904"
"1463860759.79842";"около 3 тысяч";"44";"добродетельный";"4";"272";"5";"7 месяцев";"около 45 тысяч";"38";"67 / 61";"37228";"17056";"21081";"21228";"8351";"18544";"1965"
"1463903944.28461";"около 4 тысяч";"45";"добродетельный";"4";"276";"5";"7 месяцев";"около 45 тысяч";"38";"67 / 61";"37229";"17058";"20687";"20909";"8240";"18296";"2763"
"1463947152.35019";"около 4 тысяч";"45";"добродетельный";"6";"276";"5";"7 месяцев";"около 45 тысяч";"38";"67 / 61";"37229";"17066";"20752";"21128";"8268";"18486";"2895"
"1463990345.30678";"около 8 тысяч";"45";"добродетельный";"7";"276";"5";"7 месяцев";"около 45 тысяч";"38";"67 / 61";"37229";"17068";"20431";"20838";"8110";"18278";"2098"
"1464033551.84777";"около 3 тысяч";"45";"добродетельный";"8";"276";"5";"7 месяцев";"около 45 тысяч";"38";"67 / 61";"37229";"17075";"20491";"21015";"8130";"18428";"2487"
"1464076745.9815";"около 2 тысяч";"45";"добродетельный";"8";"276";"5";"7 месяцев";"около 45 тысяч";"38";"67 / 61";"37229";"17075";"20137";"20685";"8020";"18209";"1999"
"1464119944.90692";"около 8 тысяч";"45";"добродетельный";"9";"276";"6";"7 месяцев";"около 45 тысяч";"38";"67 / 61";"37229";"17078";"20437";"20055";"8078";"18408";"2051"
"1464163143.92182";"около 6 сотен";"45";"добродетельный";"9";"276";"6";"7 месяцев";"около 45 тысяч";"39";"67 / 61";"37229";"17077";"20143";"19757";"8472";"18155";"2605"
"1464206349.54699";"около 18 сотен";"45";"добродетельный";"9";"276";"6";"7 месяцев";"около 45 тысяч";"39";"67 / 61";"37229";"17083";"20437";"19991";"8546";"18408";"1943"
"1464249543.68589";"около 4 тысяч";"45";"добродетельный";"10";"276";"6";"8 месяцев";"около 46 тысяч";"39";"67 / 61";"37229";"17090";"20068";"19731";"8386";"18110";"2430"
"1464292755.93437";"около 4 тысяч";"45";"добродетельный";"10";"276";"6";"8 месяцев";"около 46 тысяч";"39";"67 / 61";"37229";"17092";"20241";"19883";"8413";"18333";"3062"
"1464335954.23708";"около 6 тысяч";"45";"добродетельный";"12";"276";"6";"8 месяцев";"около 46 тысяч";"39";"67 / 61";"37229";"17097";"19842";"19592";"8272";"18132";"2992"
