"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856905.76362";"около 10 тысяч";"71";"нейтральный";"819";"380";"";"3 года 7 месяцев";"около 145 тысяч";"193";"25 / 48";"12194";"21481";"0";"7476";"0";"25404";"8511";"0"
"1463860764.9049";"около 10 тысяч";"71";"нейтральный";"819";"380";"";"3 года 7 месяцев";"около 145 тысяч";"193";"25 / 48";"12192";"21481";"0";"7480";"0";"25439";"8506";"0"
"1463903949.38188";"около 10 тысяч";"71";"нейтральный";"820";"380";"";"3 года 8 месяцев";"около 145 тысяч";"193";"25 / 48";"12192";"21481";"0";"7395";"0";"25089";"8433";"0"
"1463947157.44861";"около 3 тысяч";"71";"нейтральный";"821";"380";"";"3 года 8 месяцев";"около 145 тысяч";"194";"25 / 48";"12194";"21481";"0";"7451";"0";"25655";"8497";"0"
"1463990350.41128";"около 2 тысяч";"71";"нейтральный";"822";"380";"";"3 года 8 месяцев";"около 145 тысяч";"194";"25 / 48";"12192";"21481";"0";"7366";"0";"25351";"8427";"0"
"1464033556.95915";"около 3 сотен";"71";"нейтральный";"825";"380";"";"3 года 8 месяцев";"около 145 тысяч";"194";"25 / 48";"12192";"21481";"0";"7429";"0";"25587";"8441";"0"
"1464076751.09378";"около 5 тысяч";"71";"нейтральный";"826";"380";"";"3 года 8 месяцев";"около 145 тысяч";"194";"25 / 48";"12186";"21481";"0";"7383";"0";"25267";"8386";"0"
"1464119950.0205";"около 9 тысяч";"71";"нейтральный";"829";"380";"";"3 года 8 месяцев";"около 145 тысяч";"194";"25 / 48";"12177";"21481";"0";"7418";"0";"25518";"8433";"0"
"1464163149.05554";"около 18 сотен";"71";"нейтральный";"829";"380";"";"3 года 8 месяцев";"около 146 тысяч";"194";"25 / 48";"12178";"21481";"0";"7287";"0";"25154";"8332";"0"
"1464206354.65265";"около 5 тысяч";"71";"нейтральный";"829";"380";"";"3 года 8 месяцев";"около 146 тысяч";"194";"25 / 48";"12161";"21481";"0";"7357";"0";"25478";"8395";"0"
"1464249548.78819";"около 6 тысяч";"71";"нейтральный";"829";"380";"";"3 года 8 месяцев";"около 146 тысяч";"194";"25 / 48";"12163";"21481";"0";"7274";"0";"25077";"8314";"0"
"1464292761.04906";"около 17 тысяч";"71";"нейтральный";"830";"380";"";"3 года 8 месяцев";"около 146 тысяч";"195";"25 / 48";"12158";"21481";"0";"7351";"0";"25667";"8387";"0"
"1464335959.3453";"около 9 тысяч";"71";"нейтральный";"830";"380";"";"3 года 8 месяцев";"около 146 тысяч";"195";"25 / 48";"12158";"21481";"0";"7292";"0";"25312";"8319";"0"
