"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"p.gladiatorship";"p.taming";"p.alignment"
"1463856911.06019";"около 3 тысяч";"49";"беззлобный";"7";"292";"";"0";"0";"0"
"1463860770.19728";"около 16 сотен";"49";"беззлобный";"7";"292";"";"0";"0";"0"
"1463903954.67746";"около 4 тысяч";"49";"беззлобный";"7";"292";"";"0";"0";"0"
"1463947162.78136";"около 4 тысяч";"49";"беззлобный";"9";"292";"";"0";"0";"0"
"1463990355.70597";"около 4 тысяч";"49";"беззлобный";"9";"292";"";"0";"0";"0"
"1464033562.2579";"около 2 тысяч";"49";"беззлобный";"11";"292";"";"0";"0";"0"
"1464076756.38389";"около тысячи";"49";"беззлобный";"11";"292";"";"0";"0";"0"
"1464119955.34968";"около 6 тысяч";"49";"беззлобный";"12";"292";"";"0";"0";"0"
"1464163154.34509";"около 3 тысяч";"49";"беззлобный";"12";"292";"";"0";"0";"0"
"1464206359.95219";"около сотни";"49";"беззлобный";"12";"292";"";"0";"0";"0"
"1464249554.08329";"около тысячи";"49";"беззлобный";"18";"292";"";"0";"0";"0"
"1464292766.33808";"около 4 сотен";"49";"беззлобный";"18";"292";"";"0";"0";"0"
"1464335964.70141";"около 6 тысяч";"49";"беззлобный";"19";"292";"";"0";"0";"0"
