"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"p.gladiatorship";"p.taming";"p.alignment"
"1463856926.5948";"около 3 тысяч";"70";"беззлобный";"916";"376";"12";"0";"0";"0"
"1463860785.72976";"около 3 тысяч";"70";"беззлобный";"916";"376";"12";"0";"0";"0"
"1463903970.18458";"около 3 тысяч";"70";"беззлобный";"916";"376";"12";"0";"0";"0"
"1463947178.37045";"около 11 тысяч";"70";"беззлобный";"918";"376";"12";"0";"0";"0"
"1463990371.20451";"около 11 тысяч";"70";"беззлобный";"918";"376";"12";"0";"0";"0"
"1464033577.79043";"около 11 тысяч";"70";"беззлобный";"918";"376";"12";"0";"0";"0"
"1464076771.89653";"около 11 тысяч";"70";"беззлобный";"918";"376";"12";"0";"0";"0"
"1464119970.86233";"около тысячи";"70";"беззлобный";"929";"376";"12";"0";"0";"0"
"1464163169.85127";"около 2 тысяч";"70";"беззлобный";"930";"376";"13";"0";"0";"0"
"1464206375.58076";"около 7 тысяч";"70";"беззлобный";"930";"376";"13";"0";"0";"0"
"1464249569.58897";"около 5 тысяч";"70";"беззлобный";"930";"376";"13";"0";"0";"0"
"1464292781.88537";"около 16 тысяч";"70";"беззлобный";"931";"376";"13";"0";"0";"0"
"1464335980.19743";"около 10 тысяч";"70";"беззлобный";"931";"376";"13";"0";"0";"0"
