"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"p.gladiatorship";"p.taming";"p.alignment"
"1463856942.18205";"около 4 тысяч";"69";"нейтральный";"818";"372";"7";"0";"0";"0"
"1463860801.41789";"около 4 тысяч";"69";"нейтральный";"818";"372";"7";"0";"0";"0"
"1463903985.67562";"около 5 тысяч";"69";"нейтральный";"819";"372";"8";"0";"0";"0"
"1463947193.89362";"около 8 тысяч";"70";"нейтральный";"819";"376";"8";"0";"0";"0"
"1463990386.79048";"около 8 тысяч";"70";"нейтральный";"819";"376";"8";"0";"0";"0"
"1464033593.31681";"около 9 тысяч";"70";"нейтральный";"821";"376";"8";"0";"0";"0"
"1464076787.45761";"около 9 тысяч";"70";"нейтральный";"821";"376";"8";"0";"0";"0"
"1464119986.36447";"около 5 тысяч";"70";"нейтральный";"823";"376";"8";"0";"0";"0"
"1464163185.40448";"около 4 тысяч";"70";"нейтральный";"823";"376";"8";"0";"0";"0"
"1464206391.107";"около 4 тысяч";"70";"нейтральный";"823";"376";"8";"0";"0";"0"
"1464249585.10491";"около 4 тысяч";"70";"нейтральный";"823";"376";"8";"0";"0";"0"
"1464292797.44132";"около 4 тысяч";"70";"нейтральный";"823";"376";"8";"0";"0";"0"
"1464335995.74125";"около 5 сотен";"70";"нейтральный";"824";"376";"9";"0";"0";"0"
