"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856962.8423";"около 5 тысяч";"47";"добродушный";"15";"284";"11";"9 месяцев";"около 54 тысяч";"49";"3 / 9";"36975";"0";"18496";"13685";"10054";"18248";"10393"
"1463860822.06653";"около 5 тысяч";"47";"добродушный";"15";"284";"11";"9 месяцев";"около 54 тысяч";"49";"3 / 9";"36975";"0";"18516";"13695";"10063";"18264";"10479"
"1463904006.38847";"около 6 тысяч";"47";"добродушный";"17";"284";"11";"9 месяцев";"около 54 тысяч";"49";"3 / 9";"36975";"0";"18287";"13552";"9882";"18027";"10883"
"1463947214.5177";"около 5 тысяч";"47";"добродушный";"18";"284";"11";"9 месяцев";"около 54 тысяч";"49";"3 / 9";"36975";"0";"18508";"13641";"9929";"18224";"11484"
"1463990407.46941";"около 4 тысяч";"47";"добродушный";"19";"284";"11";"9 месяцев";"около 54 тысяч";"50";"3 / 9";"36975";"0";"18318";"13537";"10248";"18005";"11906"
"1464033613.95013";"около 3 тысяч";"48";"добродушный";"19";"288";"11";"9 месяцев";"около 54 тысяч";"49";"3 / 9";"36975";"0";"18471";"13647";"10296";"18178";"12198"
"1464076808.08929";"около тысячи";"48";"добродушный";"20";"288";"11";"9 месяцев";"около 54 тысяч";"49";"3 / 9";"36975";"0";"18182";"13521";"9678";"17966";"12563"
"1464120007.13261";"около 10 тысяч";"48";"добродушный";"21";"288";"11";"9 месяцев";"около 54 тысяч";"49";"3 / 9";"36975";"0";"18453";"13607";"9743";"18199";"12624"
"1464163206.0259";"около тысячи";"48";"добродушный";"23";"288";"11";"9 месяцев";"около 54 тысяч";"49";"3 / 9";"36975";"0";"18054";"13432";"9573";"17966";"12057"
"1464206411.74772";"около 8 тысяч";"48";"добродушный";"25";"288";"11";"9 месяцев";"около 55 тысяч";"49";"3 / 9";"36975";"0";"18287";"13555";"9622";"18168";"11902"
"1464249605.7635";"около 5 тысяч";"48";"добродушный";"26";"288";"11";"9 месяцев";"около 55 тысяч";"49";"3 / 9";"36975";"0";"18053";"13401";"9442";"17894";"12255"
"1464292818.07479";"около 7 тысяч";"48";"добродушный";"27";"288";"12";"9 месяцев";"около 55 тысяч";"50";"3 / 9";"36975";"0";"18228";"12714";"10037";"18088";"12782"
"1464336016.4637";"около 11 тысяч";"48";"добродушный";"28";"288";"12";"9 месяцев";"около 55 тысяч";"50";"3 / 9";"36975";"0";"18039";"12577";"9903";"17900";"12781"
