"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856973.28875";"около 4 тысяч";"73";"беззлобный";"997";"388";"25";"3 года 2 месяца";"около 173 тысяч";"159";"78 / 47";"10553";"22715";"9896";"8029";"5207";"10354";"7416";"18364"
"1463860832.46839";"около 8 тысяч";"73";"беззлобный";"996";"388";"25";"3 года 2 месяца";"около 173 тысяч";"159";"78 / 47";"10553";"22715";"9896";"8034";"5207";"10362";"7421";"18435"
"1463904016.80606";"около 6 тысяч";"73";"беззлобный";"996";"388";"25";"3 года 2 месяца";"около 173 тысяч";"159";"78 / 47";"10541";"22715";"9893";"7952";"5179";"10267";"7345";"18092"
"1463947224.93235";"около 16 тысяч";"73";"беззлобный";"998";"388";"25";"3 года 2 месяца";"около 173 тысяч";"159";"78 / 47";"10535";"22715";"9900";"7994";"5203";"10376";"7372";"17455"
"1463990417.8837";"около 9 тысяч";"73";"беззлобный";"998";"388";"25";"3 года 2 месяца";"около 173 тысяч";"159";"78 / 47";"10515";"22715";"9903";"7980";"5188";"10217";"7313";"17750"
"1464033624.36013";"около 7 тысяч";"73";"беззлобный";"1000";"388";"25";"3 года 2 месяца";"около 173 тысяч";"159";"78 / 47";"10520";"22715";"9908";"8031";"5216";"10313";"7322";"18091"
"1464076818.49603";"около 3 тысяч";"73";"беззлобный";"1001";"388";"25";"3 года 2 месяца";"около 173 тысяч";"159";"78 / 47";"10517";"22715";"9909";"7980";"5197";"10223";"7278";"18344"
"1464120017.54561";"около 4 тысяч";"73";"беззлобный";"1003";"388";"25";"3 года 2 месяца";"около 173 тысяч";"160";"78 / 48";"10517";"22715";"10067";"8065";"5225";"10494";"7266";"15418"
"1464163216.42746";"около 4 тысяч";"73";"беззлобный";"1003";"388";"25";"3 года 2 месяца";"около 173 тысяч";"159";"78 / 48";"10515";"22715";"10070";"9123";"5180";"10181";"7194";"15754"
"1464206422.16441";"около 9 тысяч";"73";"беззлобный";"1004";"388";"25";"3 года 2 месяца";"около 174 тысяч";"159";"78 / 48";"10517";"22715";"10069";"8246";"5223";"10291";"7249";"16257"
"1464249616.22046";"около 8 тысяч";"73";"беззлобный";"1005";"388";"25";"3 года 2 месяца";"около 174 тысяч";"159";"78 / 48";"10512";"22715";"10074";"8124";"5178";"10145";"7178";"16534"
"1464292828.50377";"около 10 тысяч";"73";"беззлобный";"1006";"388";"25";"3 года 2 месяца";"около 174 тысяч";"159";"78 / 48";"10511";"22715";"10075";"8141";"5202";"10264";"7234";"15559"
"1464336026.88864";"около 11 тысяч";"73";"беззлобный";"1007";"388";"25";"3 года 2 месяца";"около 174 тысяч";"159";"79 / 48";"10500";"22715";"9809";"7922";"5170";"10118";"7182";"15951"
