"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856983.51346";"около тысячи";"54";"нейтральный";"13";"312";"";"2 года 4 месяца";"около 77 тысяч";"97";"0 / 2";"36464";"0";"15961";"0";"22870";"18313";"0"
"1463860842.79646";"около тысячи";"54";"нейтральный";"13";"312";"";"2 года 4 месяца";"около 77 тысяч";"97";"0 / 2";"36464";"0";"15973";"0";"22896";"18327";"0"
"1463904027.01533";"около тысячи";"54";"нейтральный";"13";"312";"";"2 года 4 месяца";"около 77 тысяч";"97";"0 / 2";"36464";"0";"15767";"0";"22647";"18131";"0"
"1463947235.14848";"около тысячи";"54";"нейтральный";"13";"312";"";"2 года 4 месяца";"около 77 тысяч";"97";"0 / 2";"36464";"0";"15977";"0";"22877";"18354";"0"
"1463990428.11368";"около тысячи";"54";"нейтральный";"13";"312";"";"2 года 4 месяца";"около 77 тысяч";"97";"0 / 2";"36464";"0";"15767";"0";"22639";"18153";"0"
"1464033634.58698";"около тысячи";"54";"нейтральный";"13";"312";"";"2 года 4 месяца";"около 77 тысяч";"97";"0 / 2";"36464";"0";"15951";"0";"22885";"18370";"0"
"1464076828.70597";"около тысячи";"54";"нейтральный";"13";"312";"";"2 года 4 месяца";"около 77 тысяч";"97";"0 / 2";"36464";"0";"15785";"0";"22636";"18177";"0"
"1464120027.787";"около тысячи";"54";"нейтральный";"13";"312";"";"2 года 4 месяца";"около 77 тысяч";"97";"0 / 2";"36464";"0";"16012";"0";"22908";"18428";"0"
"1464163226.66698";"около тысячи";"54";"нейтральный";"13";"312";"";"2 года 5 месяцев";"около 77 тысяч";"97";"0 / 2";"36464";"0";"0";"0"
"1464206432.38481";"около 4 тысяч";"54";"нейтральный";"22";"312";"";"2 года 5 месяцев";"около 77 тысяч";"97";"0 / 2";"36464";"0";"15834";"0";"22490";"18340";"0"
"1464249626.47249";"около 3 тысяч";"54";"нейтральный";"22";"312";"";"2 года 5 месяцев";"около 77 тысяч";"97";"0 / 2";"36464";"0";"15596";"0";"22154";"18064";"0"
"1464292838.72291";"около 3 тысяч";"54";"нейтральный";"22";"312";"";"2 года 5 месяцев";"около 77 тысяч";"97";"0 / 2";"36464";"0";"15809";"0";"22419";"18289";"0"
"1464336037.10095";"около 3 тысяч";"54";"нейтральный";"22";"312";"";"2 года 5 месяцев";"около 77 тысяч";"97";"0 / 2";"36464";"0";"15631";"0";"22179";"18096";"0"
