"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463857029.75522";"около 2 тысяч";"67";"беззлобный";"823";"364";"2 года 9 месяцев";"около 131 тысяч";"121";"89 / 45";"16106";"23508";"6816";"10447";"0";"10376";"9338";"18395"
"1463860889.11429";"около 2 тысяч";"67";"беззлобный";"823";"364";"2 года 9 месяцев";"около 131 тысяч";"121";"89 / 45";"16107";"23508";"6816";"10457";"0";"10383";"9347";"18467"
"1463904073.20448";"около 2 тысяч";"67";"беззлобный";"823";"364";"2 года 9 месяцев";"около 131 тысяч";"121";"89 / 45";"16108";"23508";"6817";"10359";"0";"10310";"9286";"18783"
"1463947281.67511";"около 14 тысяч";"67";"беззлобный";"825";"364";"2";"2 года 9 месяцев";"около 131 тысяч";"121";"89 / 45";"16089";"23508";"6821";"10400";"24026";"10372";"9323";"18176"
"1463990474.38758";"около 14 тысяч";"67";"беззлобный";"825";"364";"2";"2 года 9 месяцев";"около 131 тысяч";"121";"89 / 45";"16093";"23508";"6820";"10274";"23625";"10233";"9239";"18481"
"1464033681.11157";"около 4 тысяч";"67";"нейтральный";"825";"364";"3";"2 года 9 месяцев";"около 132 тысяч";"121";"89 / 45";"16051";"23508";"6822";"10296";"23271";"10305";"9312";"0"
"1464076875.00508";"около 3 тысяч";"67";"нейтральный";"825";"364";"3";"2 года 9 месяцев";"около 132 тысяч";"121";"89 / 45";"16052";"23508";"6824";"10211";"22947";"10243";"9254";"0"
"1464120074.34072";"около 3 тысяч";"67";"нейтральный";"825";"364";"3";"2 года 9 месяцев";"около 132 тысяч";"121";"89 / 45";"16057";"23508";"6825";"10330";"23205";"10367";"9320";"0"
"1464163272.91041";"около 3 тысяч";"67";"нейтральный";"825";"364";"3";"2 года 9 месяцев";"около 132 тысяч";"121";"89 / 45";"16059";"23508";"6825";"10201";"22751";"10219";"9224";"0"
"1464206479.07549";"около 3 тысяч";"67";"нейтральный";"825";"364";"3";"2 года 9 месяцев";"около 132 тысяч";"121";"89 / 45";"16067";"23508";"6825";"10316";"23019";"10356";"9305";"0"
"1464249672.91595";"около 3 тысяч";"67";"нейтральный";"825";"364";"3";"2 года 9 месяцев";"около 132 тысяч";"121";"89 / 45";"16072";"23508";"6828";"10185";"22610";"10213";"9204";"0"
"1464292885.50848";"около 3 тысяч";"67";"нейтральный";"834";"364";"4";"2 года 9 месяцев";"около 132 тысяч";"122";"89 / 45";"16013";"23508";"6831";"10343";"22232";"10517";"9284";"0"
"1464336083.58303";"около 3 тысяч";"67";"нейтральный";"834";"364";"4";"2 года 9 месяцев";"около 132 тысяч";"122";"89 / 45";"16020";"23508";"6832";"10236";"21906";"10391";"9204";"0"
