"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"p.gladiatorship";"p.taming";"p.alignment"
"1463857050.43601";"около 5 тысяч";"48";"озлобленный";"3";"288";"15";"0";"0";"0"
"1463860909.86343";"около 5 тысяч";"48";"озлобленный";"3";"288";"15";"0";"0";"0"
"1463904093.84486";"около 2 тысяч";"48";"озлобленный";"5";"288";"15";"0";"0";"0"
"1463947302.34946";"около 2 тысяч";"48";"озлобленный";"5";"288";"15";"0";"0";"0"
"1463990495.09881";"около 16 сотен";"48";"озлобленный";"7";"288";"15";"0";"0";"0"
"1464033701.85429";"около 15 сотен";"48";"озлобленный";"7";"288";"15";"0";"0";"0"
"1464076895.74904";"около 4 тысяч";"48";"озлобленный";"8";"288";"15";"0";"0";"0"
"1464120095.032";"около тысячи";"48";"озлобленный";"9";"288";"15";"0";"0";"0"
"1464163293.56413";"около 3 тысяч";"48";"озлобленный";"10";"288";"15";"0";"0";"0"
"1464206499.73837";"около 2 тысяч";"48";"озлобленный";"10";"288";"15";"0";"0";"0"
"1464249693.59684";"около 4 тысяч";"48";"недовольный";"11";"288";"15";"0";"0";"0"
"1464292906.24029";"около 4 тысяч";"48";"недовольный";"11";"288";"15";"0";"0";"0"
"1464336104.24391";"около 8 сотен";"48";"недовольный";"12";"288";"15";"0";"0";"0"
