"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463857083.16502";"около сотни";"85";"добродетельный";"919";"436";"";"5 лет 8 месяцев";"около 300 тысяч";"152";"90 / 93";"4288";"6743";"12225";"2923";"0";"1877";"3816";"2313"
"1463860941.3109";"около 2 сотен";"85";"добродетельный";"919";"436";"";"5 лет 8 месяцев";"около 300 тысяч";"152";"90 / 93";"4288";"6743";"12225";"2925";"0";"1878";"3817";"2082"
"1463904125.23023";"около 3 тысяч";"85";"добродетельный";"919";"436";"";"5 лет 8 месяцев";"около 300 тысяч";"152";"90 / 93";"4289";"6743";"12230";"2908";"0";"1869";"3807";"1943"
"1463947333.87927";"около 6 тысяч";"85";"добродетельный";"921";"436";"";"5 лет 8 месяцев";"около 300 тысяч";"152";"90 / 93";"4286";"6743";"12234";"2903";"0";"1877";"3814";"2385"
"1463990526.54495";"около 6 тысяч";"85";"добродетельный";"921";"436";"";"5 лет 8 месяцев";"около 300 тысяч";"152";"90 / 93";"4290";"6743";"12237";"2890";"0";"1865";"3797";"2568"
"1464033733.42838";"около 5 тысяч";"85";"добродетельный";"922";"436";"";"5 лет 8 месяцев";"около 301 тысяч";"152";"90 / 93";"4279";"6743";"12243";"2908";"0";"1873";"3814";"2276"
"1464076927.197";"около 4 тысяч";"85";"добродетельный";"922";"436";"";"5 лет 8 месяцев";"около 301 тысяч";"152";"90 / 93";"4280";"6743";"12246";"2893";"0";"1852";"3793";"1825"
"1464120126.50139";"около 9 тысяч";"85";"абсолютное добро";"923";"436";"";"5 лет 8 месяцев";"около 301 тысяч";"152";"90 / 93";"4278";"6743";"12247";"2904";"0";"1864";"3811";"990"
"1464163324.95971";"около 9 тысяч";"85";"добродетельный";"923";"436";"";"5 лет 8 месяцев";"около 301 тысяч";"152";"90 / 93";"4280";"6743";"12249";"2886";"0";"1853";"3798";"1131"
"1464206531.26888";"около 9 тысяч";"85";"добродетельный";"923";"436";"";"5 лет 8 месяцев";"около 301 тысяч";"152";"90 / 93";"4285";"6743";"12253";"2901";"0";"1868";"3821";"1752"
"1464249725.00977";"около 9 тысяч";"85";"добродетельный";"923";"436";"";"5 лет 8 месяцев";"около 301 тысяч";"152";"90 / 93";"4287";"6743";"12256";"2884";"0";"1850";"3800";"2227"
"1464292937.6868";"около 9 тысяч";"85";"добродетельный";"923";"436";"";"5 лет 8 месяцев";"около 301 тысяч";"152";"90 / 93";"4290";"6743";"12260";"2914";"0";"1862";"3828";"2839"
"1464336135.64659";"около тысячи";"85";"добродетельный";"924";"436";"";"5 лет 8 месяцев";"около 301 тысяч";"153";"90 / 93";"4287";"6743";"12262";"2905";"0";"1892";"3806";"2816"
