"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463857093.40091";"около 12 тысяч";"71";"нейтральный";"826";"380";"10";"3 года 2 месяца";"около 157 тысяч";"129";"16 / 10";"12549";"25062";"0";"7064";"14988";"7683";"8081";"0"
"1463860951.56011";"около 13 тысяч";"71";"нейтральный";"826";"380";"10";"3 года 2 месяца";"около 157 тысяч";"129";"16 / 10";"12549";"25062";"0";"7068";"15004";"7687";"8088";"0"
"1463904135.46243";"около 5 тысяч";"71";"нейтральный";"835";"380";"11";"3 года 2 месяца";"около 157 тысяч";"129";"16 / 10";"12552";"25062";"0";"7009";"13870";"7633";"7990";"0"
"1463947344.1232";"около 6 тысяч";"71";"нейтральный";"835";"380";"11";"3 года 2 месяца";"около 157 тысяч";"129";"16 / 10";"12532";"25062";"0";"7065";"13980";"7704";"8040";"0"
"1463990536.77667";"около 6 тысяч";"71";"нейтральный";"835";"380";"11";"3 года 2 месяца";"около 157 тысяч";"129";"16 / 10";"12537";"25062";"0";"6996";"13879";"7602";"7978";"0"
"1464033743.7526";"ни одного";"71";"нейтральный";"838";"380";"11";"3 года 2 месяца";"около 157 тысяч";"130";"16 / 10";"12541";"25062";"0";"7049";"13994";"7810";"8037";"0"
"1464076937.48217";"ни одного";"71";"нейтральный";"838";"380";"11";"3 года 2 месяца";"около 157 тысяч";"130";"16 / 10";"12545";"25062";"0";"7002";"13882";"7733";"7993";"0"
"1464120136.77103";"около 12 тысяч";"71";"нейтральный";"840";"380";"11";"3 года 2 месяца";"около 158 тысяч";"130";"16 / 10";"12541";"25062";"0";"7052";"13983";"7833";"8042";"0"
"1464163335.17967";"около 5 тысяч";"71";"нейтральный";"841";"380";"11";"3 года 2 месяца";"около 158 тысяч";"130";"16 / 10";"12541";"25062";"0";"6970";"13810";"7736";"7963";"0"
"1464206541.53642";"около 4 тысяч";"71";"нейтральный";"841";"380";"11";"3 года 2 месяца";"около 158 тысяч";"130";"16 / 10";"12532";"25062";"0";"7044";"13939";"7804";"8017";"0"
"1464249735.2343";"около 9 тысяч";"71";"нейтральный";"842";"380";"11";"3 года 2 месяца";"около 158 тысяч";"130";"16 / 10";"12528";"25062";"0";"6965";"13787";"7670";"7940";"0"
"1464292947.94096";"около 28 тысяч";"71";"нейтральный";"843";"380";"11";"3 года 2 месяца";"около 158 тысяч";"130";"16 / 10";"12523";"25062";"0";"7022";"13855";"7761";"7995";"0"
"1464336145.85445";"около 8 тысяч";"71";"нейтральный";"843";"380";"11";"3 года 2 месяца";"около 158 тысяч";"130";"16 / 10";"12520";"25062";"0";"6959";"13698";"7646";"7929";"0"
