"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"p.gladiatorship";"p.taming";"p.alignment"
"1463857098.71149";"около 11 тысяч";"72";"добродетельный";"1003";"384";"0";"0";"0"
"1463860956.86081";"около 3 тысяч";"72";"добродетельный";"1003";"384";"0";"0";"0"
"1463904140.74665";"около 32 тысяч";"72";"абсолютное добро";"1004";"384";"0";"0";"0"
"1463947349.43388";"около 20 тысяч";"72";"абсолютное добро";"1007";"384";"0";"0";"0"
"1463990542.07484";"около 68 тысяч";"72";"добродетельный";"1009";"384";"0";"0";"0"
"1464033749.07196";"около 8 тысяч";"72";"добродетельный";"1009";"384";"0";"0";"0"
"1464076942.78582";"около 4 тысяч";"72";"добродетельный";"1011";"384";"0";"0";"0"
"1464120142.06416";"около 32 тысяч";"72";"добродетельный";"1012";"384";"0";"0";"0"
"1464163340.467";"около 3 тысяч";"72";"добродетельный";"1013";"384";"0";"0";"0"
"1464206546.85085";"около 4 тысяч";"72";"добродетельный";"1014";"384";"0";"0";"0"
"1464249740.54302";"около 3 сотен";"72";"добродетельный";"1015";"384";"0";"0";"0"
"1464292953.27681";"около 22 тысяч";"72";"добродетельный";"1016";"384";"0";"0";"0"
"1464336151.13969";"около 5 сотен";"72";"миролюбивый";"1017";"384";"0";"0";"0"
