"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"p.gladiatorship";"p.taming";"p.alignment"
"1463857192.30909";"около 5 тысяч";"73";"агрессивный";"912";"388";"";"0";"0";"0"
"1463861050.55859";"около 5 тысяч";"73";"агрессивный";"912";"388";"";"0";"0";"0"
"1463904234.2598";"около 5 тысяч";"73";"агрессивный";"912";"388";"";"0";"0";"0"
"1463947443.16403";"около 5 тысяч";"73";"агрессивный";"912";"388";"";"0";"0";"0"
"1463990635.64265";"около 5 тысяч";"73";"агрессивный";"920";"388";"";"0";"0";"0"
"1464033842.99963";"около 5 тысяч";"74";"агрессивный";"920";"392";"";"0";"0";"0"
"1464077036.35114";"ни одного";"74";"агрессивный";"920";"392";"";"0";"0";"0"
"1464120235.75007";"около тысячи";"74";"агрессивный";"920";"392";"";"0";"0";"0"
"1464163433.90147";"около 10 тысяч";"74";"агрессивный";"921";"392";"";"0";"0";"0"
"1464206640.69251";"около 9 тысяч";"74";"агрессивный";"921";"392";"";"0";"0";"0"
"1464249834.15809";"около 3 сотен";"74";"злобный";"922";"392";"";"0";"0";"0"
"1464293047.14615";"около 6 тысяч";"74";"злобный";"922";"392";"";"0";"0";"0"
"1464336244.84496";"около 3 тысяч";"74";"злобный";"922";"392";"";"0";"0";"0"
