"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"p.gladiatorship";"p.taming";"p.alignment"
"1463857218.10668";"около 3 тысяч";"73";"добродушный";"840";"388";"";"0";"0";"0"
"1463861076.33408";"около 3 тысяч";"73";"добродушный";"840";"388";"";"0";"0";"0"
"1463904259.97915";"около 3 тысяч";"73";"добродушный";"840";"388";"";"0";"0";"0"
"1463947468.93152";"около 3 тысяч";"73";"добродушный";"840";"388";"";"0";"0";"0"
"1463990661.35066";"около 9 тысяч";"73";"добродушный";"842";"388";"";"0";"0";"0"
"1464033869.75438";"около 6 тысяч";"73";"добродушный";"842";"388";"";"0";"0";"0"
"1464077062.08657";"около 4 тысяч";"73";"миролюбивый";"843";"388";"";"0";"0";"0"
"1464120261.68806";"около 5 тысяч";"73";"добродушный";"844";"388";"";"0";"0";"0"
"1464163459.61067";"около 5 сотен";"73";"добродушный";"844";"388";"";"0";"0";"0"
"1464206666.46883";"около 2 тысяч";"73";"добродушный";"845";"388";"";"0";"0";"0"
"1464249859.8655";"около 7 тысяч";"73";"добродушный";"845";"388";"";"0";"0";"0"
"1464293073.06852";"около 7 тысяч";"73";"добродушный";"845";"388";"";"0";"0";"0"
"1464336270.55827";"около 9 тысяч";"73";"миролюбивый";"847";"388";"";"0";"0";"0"
