"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"p.gladiatorship";"p.taming";"p.alignment"
"1463857259.81389";"около тысячи";"49";"миролюбивый";"8";"292";"10";"0";"0";"0"
"1463861117.84249";"около 3 тысяч";"49";"миролюбивый";"9";"292";"10";"0";"0";"0"
"1463904301.39511";"около 7 тысяч";"49";"миролюбивый";"9";"292";"10";"0";"0";"0"
"1463947510.48036";"около 4 тысяч";"49";"миролюбивый";"11";"292";"10";"0";"0";"0"
"1463990702.79598";"около 7 тысяч";"49";"миролюбивый";"12";"292";"10";"0";"0";"0"
"1464033911.28467";"около 7 тысяч";"49";"миролюбивый";"12";"292";"10";"0";"0";"0"
"1464077103.52917";"около 6 тысяч";"49";"миролюбивый";"13";"292";"10";"0";"0";"0"
"1464120303.23392";"около 9 тысяч";"49";"добродушный";"14";"292";"11";"0";"0";"0"
"1464163501.04535";"около 10 тысяч";"49";"добродушный";"20";"292";"11";"0";"0";"0"
"1464206707.97566";"около 6 тысяч";"49";"добродушный";"20";"292";"11";"0";"0";"0"
"1464249901.34971";"ни одного";"49";"добродушный";"20";"292";"11";"0";"0";"0"
"1464293114.73877";"около 17 тысяч";"50";"добродушный";"23";"296";"11";"0";"0";"0"
"1464336312.01413";"около 5 тысяч";"50";"добродушный";"24";"296";"11";"0";"0";"0"
