"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463857306.35858";"около 4 тысяч";"74";"чистое зло";"989";"392";"24";"2 года 3 месяца";"около 188 тысяч";"168";"8 / 2";"9975";"23870";"0";"5964";"5303";"9634";"4940";"216"
"1463861164.3183";"около 4 тысяч";"74";"чистое зло";"989";"392";"24";"2 года 3 месяца";"около 188 тысяч";"168";"8 / 2";"9976";"23870";"0";"5972";"5309";"9653";"4937";"275"
"1463904347.77185";"около 3 тысяч";"74";"чистое зло";"990";"392";"24";"2 года 3 месяца";"около 188 тысяч";"168";"8 / 2";"9970";"23870";"0";"6835";"5281";"9558";"4910";"216"
"1463947556.98759";"около 9 тысяч";"74";"чистое зло";"990";"392";"24";"2 года 3 месяца";"около 188 тысяч";"168";"8 / 2";"9968";"23870";"0";"6071";"5305";"9632";"4936";"283"
"1463990749.19214";"около 6 тысяч";"74";"чистое зло";"990";"392";"24";"2 года 3 месяца";"около 188 тысяч";"168";"8 / 2";"9965";"23870";"0";"5928";"5289";"9467";"4901";"104"
"1464033957.80619";"около 9 тысяч";"74";"чистое зло";"991";"392";"24";"2 года 3 месяца";"около 188 тысяч";"168";"8 / 2";"9961";"23870";"0";"5973";"5324";"9595";"4930";"94"
"1464077149.95013";"около 5 тысяч";"74";"чистое зло";"992";"392";"24";"2 года 3 месяца";"около 189 тысяч";"168";"8 / 2";"9954";"23870";"0";"5894";"5302";"9505";"4892";"24"
"1464120349.71068";"около 4 тысяч";"74";"чистое зло";"992";"392";"24";"2 года 3 месяца";"около 189 тысяч";"168";"8 / 2";"9958";"23870";"0";"5942";"5331";"9611";"4912";"77"
"1464163547.40872";"около 10 тысяч";"74";"чистое зло";"993";"392";"24";"2 года 3 месяца";"около 189 тысяч";"168";"8 / 2";"9953";"23870";"0";"5867";"5290";"9450";"4873";"131"
"1464206754.4016";"около 9 тысяч";"74";"чистое зло";"994";"392";"24";"2 года 3 месяца";"около 189 тысяч";"168";"8 / 2";"9948";"23870";"0";"5924";"5335";"9529";"4892";"52"
"1464249947.7764";"около 8 тысяч";"74";"чистое зло!";"994";"392";"24";"2 года 3 месяца";"около 189 тысяч";"168";"8 / 2";"9917";"23870";"0";"5841";"5288";"9362";"4862";"67"
"1464293161.21334";"около 6 тысяч";"74";"чистое зло!";"994";"392";"24";"2 года 3 месяца";"около 189 тысяч";"168";"8 / 2";"9921";"23870";"0";"5903";"5314";"9471";"4894";"91"
"1464336358.41352";"около 9 тысяч";"74";"чистое зло";"994";"392";"24";"2 года 4 месяца";"около 189 тысяч";"168";"8 / 2";"9912";"23870";"0";"5855";"5284";"9356";"4872";"175"
