"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"exp_progress";"quest_progress"
"1460275202.27076";"около 14 тысяч";"60";"миролюбивый";"686";"36";"51";"73"
"1460276402.47715";"около 14 тысяч";"60";"миролюбивый";"686";"124";"51";"73"
"1460277602.50255";"около 14 тысяч";"60";"миролюбивый";"686";"336";"51";"73"
"1460278802.34045";"около 14 тысяч";"60";"миролюбивый";"686";"273";"51";"74"
"1460280002.40653";"около 14 тысяч";"60";"миролюбивый";"686";"220";"51";"74"
"1460281202.47512";"около 14 тысяч";"60";"миролюбивый";"686";"58";"51";"75"
"1460282402.66981";"около 15 тысяч";"60";"миролюбивый";"686";"55";"51";"75"
"1460283602.83147";"около 15 тысяч";"60";"миролюбивый";"686";"178";"51";"80"
"1460284802.01895";"около 15 тысяч";"60";"миролюбивый";"686";"34";"51";"81"
"1460286002.29782";"около 15 тысяч";"60";"миролюбивый";"686";"58";"51";"81"
"1460287202.48198";"около 15 тысяч";"60";"миролюбивый";"686";"141";"51";"82"
"1460288402.82251";"около 15 тысяч";"60";"миролюбивый";"686";"28";"51";"82"
"1460289602.15392";"около 15 тысяч";"60";"миролюбивый";"686";"39";"51";"84"
"1460290802.65328";"около 15 тысяч";"60";"миролюбивый";"686";"29";"51";"85"
"1460292002.12686";"около 15 тысяч";"60";"миролюбивый";"686";"30";"51";"86"
"1460293202.50705";"около 15 тысяч";"60";"миролюбивый";"686";"41";"51";"86"
"1460294402.666";"около 15 тысяч";"60";"миролюбивый";"686";"336";"51";"86"
"1460295602.16953";"около 15 тысяч";"60";"миролюбивый";"686";"313";"51";"86"
"1460296802.49621";"около 15 тысяч";"60";"миролюбивый";"686";"190";"51";"87"
"1460298002.74927";"около 15 тысяч";"60";"миролюбивый";"686";"86";"51";"88"
"1460299202.40611";"около 15 тысяч";"60";"миролюбивый";"686";"36";"51";"89"
"1460300402.59796";"около 15 тысяч";"60";"миролюбивый";"686";"45";"51";"91"
"1460301602.79039";"около 15 тысяч";"60";"миролюбивый";"686";"156";"51";"91"
"1460302802.7491";"около 16 тысяч";"60";"миролюбивый";"686";"336";"51";"91"
"1460304002.64107";"около 17 тысяч";"60";"миролюбивый";"686";"336";"51";"91"
"1460305202.56991";"около 10 тысяч";"60";"миролюбивый";"686";"259";"52";"91"
"1460306402.7872";"около 10 тысяч";"60";"миролюбивый";"686";"156";"52";"92"
"1460307602.00517";"около 11 тысяч";"60";"миролюбивый";"686";"37";"52";"92"
"1460308802.35818";"около 11 тысяч";"60";"миролюбивый";"686";"39";"52";"93"
"1460310002.53526";"около 11 тысяч";"60";"миролюбивый";"686";"25";"52";"92"
"1460311202.85858";"около 11 тысяч";"60";"миролюбивый";"686";"39";"52";"93"
"1460312402.97455";"около 11 тысяч";"60";"миролюбивый";"686";"23";"52";"94"
"1460313602.36672";"около 11 тысяч";"60";"миролюбивый";"686";"121";"52";"95"
"1460314802.54471";"около 11 тысяч";"60";"миролюбивый";"686";"12";"52";"96"
"1460316003.09133";"около 11 тысяч";"60";"миролюбивый";"686";"114";"52";"95"
"1460317202.09539";"около 11 тысяч";"60";"миролюбивый";"686";"281";"52";"95"
"1460318402.39508";"около 14 тысяч";"60";"миролюбивый";"686";"283";"52";"95"
"1460319602.39386";"около 14 тысяч";"60";"миролюбивый";"686";"216";"52";"95"
"1460320802.47185";"около 18 тысяч";"60";"миролюбивый";"686";"224";"52";"95"
"1460322002.95012";"около 18 тысяч";"60";"миролюбивый";"686";"324";"52";"95"
"1460323202.23051";"около 19 тысяч";"60";"миролюбивый";"686";"199";"52";"96"
"1460324402.6359";"около 19 тысяч";"60";"миролюбивый";"686";"132";"53";"97"
"1460325602.95934";"около 19 тысяч";"60";"миролюбивый";"686";"1";"53";"97"
"1460326802.27452";"около 21 тысяч";"60";"миролюбивый";"686";"153";"53";"97"
"1460328002.85427";"около 21 тысяч";"60";"миролюбивый";"686";"336";"53";"97"
"1460329202.38063";"около 8 тысяч";"60";"миролюбивый";"686";"336";"53";"97"
"1460330402.62294";"около 6 тысяч";"60";"миролюбивый";"686";"336";"53";"97"
"1460331602.03496";"около 6 тысяч";"60";"миролюбивый";"686";"228";"53";"98"
"1460332802.36344";"около 6 тысяч";"60";"миролюбивый";"686";"111";"53";"99"
"1460334002.6686";"около 6 тысяч";"60";"миролюбивый";"686";"26";"53";"99"
"1460335202.04316";"около 13 тысяч";"60";"миролюбивый";"692";"130";"54";"100"
"1460336402.2687";"около 4 тысяч";"60";"миролюбивый";"692";"130";"57";"100"
"1460337602.47918";"около 3 тысяч";"60";"миролюбивый";"692";"130";"57";"100"
"1460338802.72571";"около 3 тысяч";"60";"миролюбивый";"692";"53";"57";"1"
"1460340002.0308";"около 3 тысяч";"60";"миролюбивый";"692";"231";"57";"2"
"1460341202.27206";"около 3 тысяч";"60";"миролюбивый";"692";"249";"57";"4"
"1460342402.641";"около 3 тысяч";"60";"миролюбивый";"692";"162";"57";"5"
"1460343602.70573";"около 3 тысяч";"60";"миролюбивый";"692";"36";"57";"7"
"1460344802.85548";"около 3 тысяч";"60";"миролюбивый";"692";"207";"57";"0"
"1460346002.94747";"около 3 тысяч";"60";"миролюбивый";"692";"290";"57";"1"
"1460347201.99339";"около 3 тысяч";"60";"миролюбивый";"692";"232";"57";"3"
"1460348402.08372";"около 3 тысяч";"60";"миролюбивый";"692";"124";"57";"6"
"1460349602.52225";"около 3 тысяч";"60";"миролюбивый";"692";"13";"57";"8"
"1460350802.601";"около 3 тысяч";"60";"миролюбивый";"692";"272";"57";"8"
"1460352002.56413";"около 6 тысяч";"60";"миролюбивый";"692";"228";"57";"8"
"1460353202.52639";"около 8 тысяч";"60";"миролюбивый";"692";"308";"58";"8"
"1460354402.66372";"около 24 тысяч";"60";"добродушный";"693";"266";"58";"8"
"1460355602.80779";"около 25 тысяч";"60";"добродушный";"693";"295";"58";"10"
"1460356802.03615";"около 25 тысяч";"60";"добродушный";"693";"163";"58";"11"
"1460358002.32659";"около 25 тысяч";"60";"добродушный";"693";"13";"58";"14"
"1460359202.53191";"около 25 тысяч";"60";"добродушный";"693";"14";"58";"18"
"1460360402.67946";"около 27 тысяч";"60";"добродушный";"693";"336";"58";"18"
"1460361602.96177";"около 7 тысяч";"60";"добродушный";"693";"336";"58";"18"
"1460362802.30891";"около 7 тысяч";"60";"добродушный";"693";"293";"58";"20"
"1460364002.60627";"около 7 тысяч";"60";"добродушный";"693";"149";"58";"25"
"1460365202.19911";"около 7 тысяч";"60";"добродушный";"693";"60";"58";"27"
"1460366402.64751";"около 7 тысяч";"60";"добродушный";"693";"137";"58";"32"
"1460367602.90284";"около 7 тысяч";"60";"добродушный";"693";"24";"58";"35"
"1460368802.90725";"около 7 тысяч";"60";"добродушный";"693";"36";"58";"37"
"1460370002.07739";"около 9 тысяч";"60";"миролюбивый";"693";"290";"58";"37"
"1460371202.31919";"около 28 тысяч";"60";"миролюбивый";"694";"292";"59";"37"
"1460372402.58518";"около 33 тысяч";"60";"миролюбивый";"694";"291";"59";"39"
"1460373602.98242";"около 33 тысяч";"60";"миролюбивый";"694";"123";"59";"41"
"1460374802.60333";"около 34 тысяч";"60";"миролюбивый";"694";"74";"59";"43"
"1460376002.20849";"около 34 тысяч";"60";"миролюбивый";"694";"54";"59";"46"
"1460377202.8863";"около 34 тысяч";"60";"миролюбивый";"694";"18";"59";"49"
"1460378402.3552";"около 34 тысяч";"60";"миролюбивый";"694";"291";"59";"49"
"1460379602.65683";"около 34 тысяч";"60";"миролюбивый";"694";"260";"59";"53"
"1460380802.79053";"около 34 тысяч";"60";"миролюбивый";"694";"136";"59";"55"
"1460382002.03396";"около 34 тысяч";"60";"миролюбивый";"694";"43";"59";"59"
"1460383202.31901";"около 34 тысяч";"60";"миролюбивый";"694";"17";"59";"61"
"1460384402.37942";"около 4 тысяч";"60";"миролюбивый";"695";"202";"64";"61"
"1460385602.92667";"около 5 тысяч";"60";"миролюбивый";"695";"336";"64";"61"
"1460386802.41185";"около 3 тысяч";"60";"миролюбивый";"695";"286";"64";"61"
"1460388002.72103";"около 9 тысяч";"60";"миролюбивый";"695";"227";"64";"61"
"1460389202.12907";"около 25 тысяч";"60";"миролюбивый";"696";"243";"65";"61"
"1460390402.33759";"около 16 тысяч";"60";"миролюбивый";"696";"243";"65";"61"
"1460391602.52509";"около 16 тысяч";"60";"миролюбивый";"696";"163";"65";"64"
"1460392802.25693";"около 22 тысяч";"60";"миролюбивый";"696";"65";"65";"68"
"1460394002.50766";"около 22 тысяч";"60";"миролюбивый";"696";"29";"65";"71"
